"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0009132","GO:0009132","nucleoside diphosphate metabolic process",38,-0.78907290408726,-2.7250716791497,1e-10,6.02857142857143e-09,4.69172932330827e-09,724,"tags=58%, list=11%, signal=52%","YMR205C/YOR347C/YOL056W/YER005W/YGR192C/YGR240C/YOR344C/YLR446W/YDL021W/YJR009C/YDR050C/YBR196C/YOL136C/YPL075W/YGR254W/YGL253W/YKL152C/YKL060C/YHR174W/YAL038W/YCR012W/YJL052W"
"GO:0072523","GO:0072523","purine-containing compound catabolic process",46,-0.754699968534207,-2.71708102983362,1e-10,6.02857142857143e-09,4.69172932330827e-09,337,"tags=48%, list=5%, signal=46%","YGR240C/YIR027C/YOR344C/YLR446W/YDL021W/YER043C/YHR202W/YJR009C/YDL238C/YDR050C/YBR196C/YOL136C/YPL075W/YGR254W/YGL253W/YNL141W/YKL152C/YKL060C/YHR174W/YAL038W/YCR012W/YJL052W"
"GO:0019364","GO:0019364","pyridine nucleotide catabolic process",32,-0.811287602117491,-2.7017247997081,1e-10,6.02857142857143e-09,4.69172932330827e-09,724,"tags=69%, list=11%, signal=61%","YMR205C/YOR347C/YOL056W/YGR192C/YGR240C/YOR344C/YLR446W/YDL021W/YHR202W/YJR009C/YDR050C/YBR196C/YOL136C/YPL075W/YGR254W/YGL253W/YKL152C/YKL060C/YHR174W/YAL038W/YCR012W/YJL052W"
"GO:0009185","GO:0009185","ribonucleoside diphosphate metabolic process",35,-0.800928839513226,-2.69677704071041,1e-10,6.02857142857143e-09,4.69172932330827e-09,724,"tags=63%, list=11%, signal=56%","YMR205C/YOR347C/YOL056W/YER005W/YGR192C/YGR240C/YOR344C/YLR446W/YDL021W/YJR009C/YDR050C/YBR196C/YOL136C/YPL075W/YGR254W/YGL253W/YKL152C/YKL060C/YHR174W/YAL038W/YCR012W/YJL052W"
"GO:0009134","GO:0009134","nucleoside diphosphate catabolic process",32,-0.809109641655885,-2.69447182335723,1e-10,6.02857142857143e-09,4.69172932330827e-09,724,"tags=69%, list=11%, signal=61%","YMR205C/YOR347C/YOL056W/YER005W/YGR192C/YGR240C/YOR344C/YLR446W/YDL021W/YJR009C/YDR050C/YBR196C/YOL136C/YPL075W/YGR254W/YGL253W/YKL152C/YKL060C/YHR174W/YAL038W/YCR012W/YJL052W"
"GO:0046434","GO:0046434","organophosphate catabolic process",63,-0.695939249518214,-2.68457331253026,1e-10,6.02857142857143e-09,4.69172932330827e-09,769,"tags=49%, list=12%, signal=44%","YOL059W/YMR205C/YOR347C/YOL056W/YER005W/YGR192C/YBR242W/YGL101W/YHR046C/YGR240C/YCR068W/YPL206C/YOR344C/YPL110C/YLR446W/YDL021W/YHR202W/YJR009C/YKR031C/YDR050C/YBR196C/YOL136C/YPL075W/YGR254W/YGL253W/YKL152C/YKL060C/YHR174W/YAL038W/YCR012W/YJL052W"
"GO:0009191","GO:0009191","ribonucleoside diphosphate catabolic process",31,-0.81660085624757,-2.68034574812212,1e-10,6.02857142857143e-09,4.69172932330827e-09,724,"tags=71%, list=11%, signal=63%","YMR205C/YOR347C/YOL056W/YER005W/YGR192C/YGR240C/YOR344C/YLR446W/YDL021W/YJR009C/YDR050C/YBR196C/YOL136C/YPL075W/YGR254W/YGL253W/YKL152C/YKL060C/YHR174W/YAL038W/YCR012W/YJL052W"
"GO:0009261","GO:0009261","ribonucleotide catabolic process",33,-0.80487232003918,-2.67603762620715,1e-10,6.02857142857143e-09,4.69172932330827e-09,724,"tags=67%, list=11%, signal=60%","YMR205C/YOR347C/YOL056W/YER005W/YGR192C/YGR240C/YOR344C/YLR446W/YDL021W/YJR009C/YDR050C/YBR196C/YOL136C/YPL075W/YGR254W/YGL253W/YKL152C/YKL060C/YHR174W/YAL038W/YCR012W/YJL052W"
"GO:0009154","GO:0009154","purine ribonucleotide catabolic process",32,-0.803176198627011,-2.67471245548704,1e-10,6.02857142857143e-09,4.69172932330827e-09,724,"tags=66%, list=11%, signal=59%","YMR205C/YOR347C/YOL056W/YGR192C/YGR240C/YOR344C/YLR446W/YDL021W/YJR009C/YDR050C/YBR196C/YOL136C/YPL075W/YGR254W/YGL253W/YKL152C/YKL060C/YHR174W/YAL038W/YCR012W/YJL052W"
"GO:0006096","GO:0006096","glycolytic process",30,-0.815098534740077,-2.66934485888898,1e-10,6.02857142857143e-09,4.69172932330827e-09,724,"tags=70%, list=11%, signal=62%","YMR205C/YOR347C/YOL056W/YGR192C/YGR240C/YOR344C/YLR446W/YDL021W/YJR009C/YDR050C/YBR196C/YOL136C/YPL075W/YGR254W/YGL253W/YKL152C/YKL060C/YHR174W/YAL038W/YCR012W/YJL052W"
