"","taxon","lfc_(Intercept)","lfc_Groupvegan","se_(Intercept)","se_Groupvegan","W_(Intercept)","W_Groupvegan","p_(Intercept)","p_Groupvegan","q_(Intercept)","q_Groupvegan","diff_(Intercept)","diff_Groupvegan","passed_ss_(Intercept)","passed_ss_Groupvegan","diff_robust_(Intercept)","diff_robust_Groupvegan"
"1","Alistipes",-0.0532082258008799,0.463151203740227,0.324451769801482,0.458614409143493,-0.163994253547872,1.00989239436503,0.877688617082195,0.36967489234466,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"2","Bacteroides",0.142260902896133,0.0722129463461941,0.081506833183542,0.346473899720284,1.74538621290539,0.208422471085104,0.155853960958543,0.845081865959354,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"3","Phocaeicola",0.51851811403813,-0.6803014759378,0.312150105935864,0.692951804356453,1.66111785380803,-0.981744288218714,0.17202604167269,0.381810312261452,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"4","Parabacteroides",0.0527613332469948,0.251212085644472,0.467407524086424,0.628259860820444,0.112880795725572,0.399853788711592,0.91556339396911,0.709696681503927,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"5","Tannerella",0.440852314805057,-0.52496987747165,0.604444768493955,0.683238707730894,0.72935086509805,-0.768355000282594,0.506199549162774,0.48512687219625,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"6","Barnesiella",0.303381607537148,-0.250028462935831,0.203003959678861,0.290233547876705,1.49446152684449,-0.861473336783402,0.209365666793925,0.437557255327708,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"7","Coprobacter",0.403972829018759,-0.451210905899053,0.238580552760109,0.641848040793945,1.6932345253846,-0.702987120348486,0.165663444256605,0.520823903126385,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"8","Prevotella",0.442910062168826,-0.529085372199189,0.108246271679158,0.242078487738959,4.09168884339602,-2.18559433818721,0.0149544243146071,0.0941541271875364,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"9","Segatella",-0.448915271456804,1.25456529505207,1.83215084888086,2.5593636302186,-0.245020911750261,0.490186419873802,0.818497088537584,0.64967323405595,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"10","Hoylesella",0.108083659554935,0.140567433028593,0.448225089305303,0.55100542011967,0.241137013821453,0.255110799088082,0.821305157348357,0.811217559221271,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"11","Paraprevotella",0.040962918980594,0.274808914177276,0.875621146751027,1.67562597237385,0.0467815551652515,0.164003732759021,0.964929821641907,0.877681625789343,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"12","Xylanibacter",0.562844708907918,-0.768954665677373,0.148355917797773,0.696663015382109,3.79388107507208,-1.10376846294275,0.019204553820387,0.331626792022449,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"13","Pseudoprevotella",0.92573563943974,-1.49473652674102,0.510326112550106,1.0456644375406,1.81400797778861,-1.42946099444353,0.143875382299029,0.22608692171086,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"14","Butyricimonas",-0.391519902226103,1.13977455659067,1.0244579139733,1.07969877871513,-0.382172753888557,1.05564123907506,0.721770299630462,0.350672164072461,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"15","Odoribacter",0.225605137146419,-0.0944755221543758,0.348037485397462,0.560084375994855,0.648220799804871,-0.16868087417465,0.55217388050185,0.874233710090438,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"16","Sodaliphilus",1.21746381302514,-2.07819287391182,0.554952542176957,0.600354693819544,2.19381608425343,-3.46160843798864,0.0932939038119292,0.0257799335172201,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"17","Muribaculum",1.16070651928539,-1.96467828643232,0.222647635215844,0.493641865839696,5.21319940434198,-3.97996689987053,0.00645745596451216,0.0164015751200712,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"18","Duncaniella",0.997603521468125,-1.63847229079779,0.31219907648155,0.446448399825461,3.19540830392905,-3.67001492543897,0.0330451983769824,0.0213908655362437,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"19","Paramuribaculum",0.520196791946587,-0.683658831754711,0.966576403308547,1.06639004043473,0.538184865848139,-0.64109641485024,0.61899931583711,0.556347258385031,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"20","Porphyromonas",0.24891217014819,-0.141089588157916,0.114504914298319,0.699320420904176,2.17381211691667,-0.201752421265628,0.09540232970675,0.84995526838717,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"21","Macellibacteroides",0.548131589407664,-0.739528426676864,0.578748795302745,0.674320993933304,0.94709759027824,-1.09670087885475,0.397218058792482,0.3343638302658,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"22","Proteiniphilum",0.783046338556131,-1.2093579249738,0.300093439773468,0.606695827203257,2.60934174084989,-1.99335131502171,0.0594611014609944,0.117001696108471,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
