"Genus","Mean_omnivore","Mean_vegan","Log2FC","Pvalue","FDR"
"Phocaeicola",0.0633333333333333,0.0254166666666667,-1.31718983605703,0.2,0.867344860200026
"Tannerella",3.66666666666667e-05,6.66666666666667e-06,-2.45766260612636,0.353678517318465,0.867344860200026
"Barnesiella",0.00997,0.00574666666666667,-0.794867072577651,0.2,0.867344860200026
"Prevotella",0.00208,0.00078,-1.41502593932432,0.4,0.867344860200026
"Xylanibacter",9.66666666666667e-05,4.66666666666667e-05,-1.05046619384658,0.50655516904904,0.867344860200026
"Pseudoprevotella",3.33333333333333e-05,6.66666666666667e-06,-2.32019841734071,0.353678517318465,0.867344860200026
"Sodaliphilus",0.000363333333333333,2e-05,-4.18254036346866,0.1,0.867344860200026
"Muribaculum",0.000223333333333333,2.33333333333333e-05,-3.25818069981929,0.0765225004750592,0.867344860200026
"Duncaniella",0.00015,2.33333333333333e-05,-2.68397618531551,0.1,0.867344860200026
"Macellibacteroides",1.66666666666667e-05,0,-10.7036152362715,0.504985075093846,0.867344860200026
"Proteiniphilum",2e-05,3.33333333333333e-06,-2.58136206201472,0.34577858615116,0.867344860200026
"Dysgonomonas",1.66666666666667e-05,3.33333333333333e-06,-2.31847184638052,0.479500122186953,0.867344860200026
"Limibacterium",6.66666666666667e-06,0,-9.38298420509155,0.504985075093846,0.867344860200026
"Paludibacter",6.66666666666667e-06,0,-9.38298420509155,0.187632329994884,0.867344860200026
"Mangrovibacterium",2.66666666666667e-05,3.33333333333333e-06,-2.9962193032761,0.353678517318465,0.867344860200026
"Halosquirtibacter",1e-05,0,-9.96722625883599,0.196705602458947,0.867344860200026
"Draconibacterium",2e-05,3.33333333333333e-06,-2.58136206201472,0.479500122186953,0.867344860200026
"Gaoshiqia",3.33333333333333e-06,0,-8.38514338989102,0.504985075093846,0.867344860200026
"Marinifilum",1e-05,3.33333333333333e-06,-1.58208286894497,0.479500122186953,0.867344860200026
"Xiashengella",1e-05,3.33333333333333e-06,-1.58208286894497,0.479500122186953,0.867344860200026
"Pontibacter",3.33333333333333e-05,6.66666666666667e-06,-2.32019841734071,0.500184257070794,0.867344860200026
"Adhaeribacter",1e-05,0,-9.96722625883599,0.196705602458947,0.867344860200026
"Runella",6.66666666666667e-06,0,-9.38298420509155,0.187632329994884,0.867344860200026
"Tellurirhabdus",1e-05,0,-9.96722625883599,0.196705602458947,0.867344860200026
"Algoriphagus",3.33333333333333e-06,0,-8.38514338989102,0.504985075093846,0.867344860200026
"Aquiflexum",3.33333333333333e-06,0,-8.38514338989102,0.504985075093846,0.867344860200026
"Echinicola",3.33333333333333e-06,0,-8.38514338989102,0.504985075093846,0.867344860200026
"Emticicia",3.33333333333333e-06,0,-8.38514338989102,0.504985075093846,0.867344860200026
"Rhodocytophaga",3.33333333333333e-06,0,-8.38514338989102,0.504985075093846,0.867344860200026
"Ekhidna",3.33333333333333e-06,0,-8.38514338989102,0.504985075093846,0.867344860200026
"Flavobacterium",1e-04,4e-05,-1.32171172849494,0.121183272837463,0.867344860200026
