"Genus","SRR8146935","SRR8146936","SRR8146937","SRR8146938","SRR8146939","SRR8146940"
"Alistipes",0.24924,0.03506,0.06199,0.12282,0.18119,0.11165
"Acetobacteroides",1e-05,0,0,1e-05,1e-05,0
"Bacteroides",0.10415,0.06042,0.12721,0.20934,0.07688,0.0487
"Phocaeicola",0.09335,0.04267,0.0488,0.05398,0.00906,0.01839
"Parabacteroides",0.0215,0.03706,0.01142,0.02262,0.0315,0.031
"Tannerella",3e-05,0,0,8e-05,2e-05,0
"Barnesiella",0.0132,0.00566,0.00429,0.01105,0.01041,0.00254
"Coprobacter",0.00021,0.00015,0.00041,0.00098,0.00022,2e-05
"Prevotella",0.0025,0.00071,0.00081,0.00303,0.00121,0.00032
"Segatella",0.00162,0.65339,0.00064,0.00369,0.11834,0.65083
"Hoylesella",0.00031,2e-05,8e-05,0.00031,3e-04,4e-05
"Paraprevotella",0.00017,9e-05,3e-04,0.00813,5e-05,0.00574
"Xylanibacter",1e-04,2e-05,4e-05,0.00017,1e-04,0
"Pseudoprevotella",3e-05,0,2e-05,7e-05,0,0
"Butyricimonas",0.00274,5e-05,0.00132,0.01321,0.006,0.00201
"Odoribacter",0.00218,7e-04,0.0034,0.01155,0.00271,0.00042
"Sodaliphilus",0.00087,7e-05,2e-05,0.00015,3e-05,1e-05
"Muribaculum",0.00033,0.00011,2e-05,0.00023,2e-05,3e-05
"Duncaniella",0.00027,6e-05,2e-05,0.00012,4e-05,1e-05
"Paramuribaculum",0.00014,0,1e-05,9e-05,1e-05,1e-05
"Porphyromonas",0.00011,7e-05,0.00027,0.00026,3e-05,5e-05
"Macellibacteroides",0,0,0,5e-05,0,0
"Proteiniphilum",3e-05,0,1e-05,3e-05,0,0
"Petrimonas",2e-05,0,1e-05,6e-05,4e-05,0
"Dysgonomonas",1e-05,0,1e-05,4e-05,0,0
"Limibacterium",0,0,0,2e-05,0,0
"Paludibacter",0,1e-05,0,1e-05,0,0
"Tenuifilum",0,0,0,0,0,0
"Mangrovibacterium",5e-05,0,1e-05,3e-05,0,0
"Aquipluma",1e-05,0,1e-05,1e-05,0,0
"Halosquirtibacter",1e-05,0,0,2e-05,0,0
"Draconibacterium",1e-05,0,1e-05,5e-05,0,0
"Maribellus",0,0,0,0,0,0
"Gaoshiqia",0,0,0,1e-05,0,0
"Marinifilum",1e-05,0,1e-05,2e-05,0,0
"Xiashengella",1e-05,0,1e-05,2e-05,0,0
"Hymenobacter",0.00024,2e-05,3e-05,0.00028,1e-04,3e-05
"Pontibacter",3e-05,0,1e-05,7e-05,0,1e-05
"Adhaeribacter",1e-05,0,0,2e-05,0,0
"Rufibacter",0,0,0,0,0,0
"Dyadobacter",1e-05,0,1e-05,7e-05,1e-05,0
"Runella",1e-05,0,0,1e-05,0,0
