"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.42915913607568e-186,3.99488827954328,0.95,0.075,2.11816339930446e-181,"0","Nrn1l"
3.58265424496968e-177,4.66426565398286,0.89,0.072,9.00285185218431e-173,"0","Cartpt"
9.90064476220793e-176,3.60602070779523,0.95,0.077,2.48793302229523e-171,"0","Cnga2"
6.08178320597744e-174,3.85948686810207,0.92,0.075,1.52829130183007e-169,"0","Faim2"
5.07377074358447e-170,3.58695589010762,0.96,0.083,1.27498785015534e-165,"0","Fgf12"
7.93514064453187e-169,3.4441218812557,0.95,0.08,1.99402149256441e-164,"0","Umodl1"
7.74798828251322e-165,3.5396608333831,0.97,0.089,1.94699197551275e-160,"0","Ric8b"
1.57370097208981e-163,3.6331280385991,0.87,0.068,3.95455317276447e-159,"0","Kcnc4"
1.58155137754974e-163,3.76295371100158,0.94,0.086,3.97428045664475e-159,"0","Ctxn3"
1.06049789201024e-162,3.85050982324673,0.86,0.068,2.66492515283252e-158,"0","Slc17a6"
2.17361152947101e-162,3.71452859778425,0.97,0.094,5.46206841240771e-158,"0","Jakmip1"
3.90657702432055e-162,3.56209325331802,0.94,0.084,9.81683740441511e-158,"0","Acbd7"
1.23891828074857e-161,3.59752892683,0.96,0.091,3.11327774769309e-157,"0","Clgn"
9.24905674571406e-160,3.85097102207522,0.97,0.099,2.32419546963049e-155,"0","Syt1"
2.35952602289696e-157,3.59746752746283,0.9,0.079,5.92925294293777e-153,"0","Tmem74bos"
3.39710276158255e-154,3.72033091949862,0.96,0.099,8.5365795295808e-150,"0","Tom1"
7.2587442254066e-154,3.64951487667174,0.88,0.077,1.82404983640243e-149,"0","Eef1a2"
4.65981009345681e-152,3.42839327478937,0.95,0.093,1.17096367838476e-147,"0","Spef2"
5.31934326306034e-151,3.42202937764154,0.96,0.096,1.33669776857443e-146,"0","Cntn4"
1.16064027438797e-150,3.80647593241156,0.97,0.106,2.91657294550954e-146,"0","Dcdc2a"
1.05641362554081e-148,3.69548149767942,0.77,0.059,2.6546617996215e-144,"0","Gm11992"
1.1934927740657e-148,3.38040426291115,1,0.109,2.99912799194969e-144,"0","Flrt1"
2.28008409348104e-147,3.29186755901507,0.94,0.093,5.72962331850851e-143,"0","Cfap69"
9.2762406271266e-147,3.51521558168179,0.94,0.097,2.33102650719064e-142,"0","Adcy3"
3.76916485802466e-145,3.62972925889202,0.96,0.108,9.47153437173016e-141,"0","1700012B09Rik"
1.47119145708107e-144,3.49322432204539,0.81,0.067,3.69695701249901e-140,"0","Stmn4"
7.24874538466118e-144,3.40326944759182,0.87,0.08,1.82153722771151e-139,"0","Fam92b"
2.97578124584625e-142,3.51665660780967,0.84,0.076,7.47784069268703e-138,"0","Ttll6"
1.51855759089784e-141,3.50624948291835,0.92,0.098,3.81598337016718e-137,"0","Ak1"
1.65864131407985e-141,4.1541960226066,0.72,0.055,4.16799975815125e-137,"0","5730403I07Rik"
7.41213074943065e-141,3.32298225719484,0.85,0.076,1.86259433602443e-136,"0","Lrguk"
5.20983514218217e-140,3.66931693331802,0.75,0.059,1.30917947287896e-135,"0","Fam217a"
1.59115380702255e-139,3.31228960044611,0.77,0.061,3.99841040166696e-135,"0","Ephx4"
8.67526697616148e-138,3.31700247778958,0.84,0.077,2.18000783843962e-133,"0","Acsl6"
1.57001533346394e-137,3.37598675603958,0.81,0.072,3.94529153146154e-133,"0","Enkur"
1.89775223773566e-137,3.50590953065791,0.81,0.072,4.76886159820594e-133,"0","Rtp2"
6.17533090318218e-137,3.69346097283214,0.8,0.072,1.55179890266065e-132,"0","Carns1"
