"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.42553603318e-18,0.74257936944926,1,0.995,6.09512949777803e-14,"Rps21"
3.9563408234613e-17,0.727076214731602,1,0.995,9.94188885527591e-13,"Rps28"
3.16032513788094e-15,0.739774396625906,1,0.985,7.94158103898102e-11,"Rps27"
8.33050649568457e-15,0.552705293787488,1,1,2.09337297730058e-10,"Rps29"
1.55558411878434e-14,0.705394978196031,1,0.995,3.90902733209317e-10,"Rpl39"
5.82096623759811e-14,0.605467972550132,1,1,1.46275060584603e-09,"Rpl37a"
2.49717550687837e-12,0.646801460417459,1,0.995,6.27515233123465e-08,"Rpl37"
3.12711072659848e-12,0.664135823828397,1,0.99,7.85811654486931e-08,"Rpl38"
1.34104778041048e-09,0.552901201208376,1,0.995,3.36991896739349e-05,"Rpl41"
5.20709062518684e-09,4.0495235484165,0.23,0.035,0.00013084898032032,"Wfdc18"
5.53717198612007e-09,0.585469471673991,0.995,0.98,0.000139143594839211,"Rps26"
6.47465489666938e-09,1.27911379237843,0.65,0.42,0.000162701602898405,"mt-Atp8"
2.90789826756643e-08,0.524399638893663,1,0.99,0.000730725755656768,"Rpl36"
4.54588756735988e-08,2.48299039065266,0.35,0.135,0.00114233608680187,"Hspa1a"
1.98773228964748e-07,-0.51544066704451,1,1,0.00499497247065515,"Ftl1"
2.12138875110452e-07,0.441038613557334,1,1,0.00533083779265055,"Rpl34"
3.52101721481124e-07,-1.8526037052158,0.1,0.3,0.00884796415909915,"Dgkz"
6.91425899407579e-07,0.602516588346623,0.88,0.73,0.0173748414262131,"H2-Aa"
1.26239305783385e-06,-0.7967950989724,0.57,0.745,0.0317226751503069,"Pmepa1"
1.31116605221832e-06,0.783471587254379,0.89,0.815,0.0329482917261942,"Hsp90aa1"
1.51288539819753e-06,-0.492209872501245,0.995,1,0.0380172971713057,"Apoe"
1.6703976929577e-06,-0.751210487360533,0.525,0.735,0.041975423626334,"App"
2.74721044511896e-06,0.372906079272537,1,0.995,0.0690346512753944,"Rplp2"
4.14960480001053e-06,3.21610233932066,0.165,0.03,0.104275419019465,"Hspa1b"
6.94790932978385e-06,0.614196890740601,0.85,0.695,0.174594013548138,"H2-Eb1"
9.85628998067531e-06,0.404820104039302,1,0.995,0.24767871092439,"Hspa8"
1.25405131650065e-05,0.354277589310467,1,1,0.315130555323449,"Rpl35a"
1.27154843614237e-05,-0.284773803423217,1,1,0.319527406518217,"C1qa"
1.31759645765287e-05,0.388502509043212,0.995,0.995,0.33109881384359,"Rps15a"
1.5483359460625e-05,0.332454106939737,1,1,0.389081339886046,"Rps23"
2.26771224804562e-05,-0.543013194090468,0.57,0.775,0.569853410811385,"Tax1bp1"
3.68320738825518e-05,0.430883754939734,0.91,0.775,0.925553184594645,"Btg1"
3.73082246012787e-05,1.9744295286622,0.19,0.055,0.937518376005533,"Mepce"
3.90309466091082e-05,0.445579216692185,0.96,0.855,0.980808657340281,"Cd74"
4.26608818270284e-05,0.474083486246454,0.965,0.88,1,"Rpl36a"
6.33576644753661e-05,-2.64665922942821,0.21,0.375,1,"Obp1a"
6.8022878011204e-05,0.870062623303055,0.46,0.275,1,"Ndufa3"
6.88276012233229e-05,-1.35501076118664,0.115,0.265,1,"Arl6ip5"
7.84083022178573e-05,-1.14870251423211,0.385,0.525,1,"Fcrls"
8.44143656937641e-05,0.873596484208013,0.51,0.325,1,"Atf4"
0.00010020515064039,0.298883638568359,0.99,0.985,1,"Rpl5"
0.000101274561880594,0.359059872027463,1,0.955,1,"Rpl27"
0.000107617466224219,0.646655827550822,0.645,0.475,1,"Snrpg"
0.000116305853677879,0.381512764680235,0.985,0.97,1,"Rpl22"
0.000160298044048376,0.725043216110182,0.455,0.275,1,"Krtcap2"
0.000175091320846902,1.01062584170862,0.395,0.23,1,"Snhg8"
0.000206801820389898,0.646874993641886,0.915,0.91,1,"Mt1"
0.000211758675573082,-0.348144638423981,1,1,1,"Fth1"
0.000214939131859029,-0.492758502307447,0.705,0.85,1,"Gpx4"
0.000234355537854804,-0.535019568238118,0.575,0.73,1,"Rnasek"
0.000238106109458922,0.505933488194045,0.98,0.99,1,"Gm42418"
0.000248817038942827,0.25686093249028,1,1,1,"Eef1a1"
0.000261718144273603,-2.67802834752313,0.02,0.11,1,"Tmem11"
0.000264557703662651,0.55801540263392,0.89,0.89,1,"Cox7c"
0.000282745505710395,0.356933769557992,0.995,0.97,1,"Calm1"
0.000284074973076803,0.42996344123498,0.875,0.715,1,"H2-Ab1"
0.000327830772326807,0.563397238681656,0.885,0.885,1,"Egr1"
0.000366974701398011,0.363357810466439,0.93,0.87,1,"Son"
0.000399839387770021,0.759827885776526,0.495,0.33,1,"Ost4"
0.00043628863061254,0.811857728906974,0.51,0.37,1,"Brd2"
0.000446186167043698,-1.05112644810481,0.515,0.665,1,"AY036118"
0.000513584566171233,-0.971694707480044,0.225,0.37,1,"Ap2s1"
0.000532761656342003,1.38342451993632,0.225,0.105,1,"Nabp1"
0.000584041150784468,-0.597971277521268,0.695,0.835,1,"Neat1"
0.000586032252367597,0.502272279139403,0.75,0.6,1,"Gpr65"
0.000597592706419372,-0.581468565252053,0.675,0.83,1,"Ckb"
0.000609775585975772,-0.888680673942362,0.28,0.435,1,"Ccrl2"
0.000628213940190851,-0.394469371671106,0.975,1,1,"Rpl10"
0.000658783141000342,-1.94453341426341,0.07,0.18,1,"Pop5"
0.000719559540833864,1.15536248249309,0.32,0.19,1,"Dnajb1"
0.000765172224742936,0.65519260641663,0.42,0.26,1,"Icam1"
0.000773434311023908,-0.296475642658517,0.95,0.975,1,"Oaz1"
0.00077510065453497,-0.775436934376706,0.39,0.54,1,"Pla2g7"
0.000797509901266443,-0.649909275337342,0.47,0.615,1,"Cd86"
0.000816810659739317,1.0299690850404,0.375,0.24,1,"Gls"
0.000932506310279899,-2.16725890516411,0.03,0.115,1,"Cela1"
